clean_file,transcript,noisy_file
data/clean/MMDM0_SI681.WAV.wav,would such an act of refusal be useful,data/noisy/MMDM0_SI681.WAV.wav
data/clean/MMDM0_SI1311.WAV.wav,soil redeposition is evaluated by washing clean swatches with the dirty ones,data/noisy/MMDM0_SI1311.WAV.wav
data/clean/MMDM0_SX141.WAV.wav,pledge to participate in nevada's aquatic competition,data/noisy/MMDM0_SX141.WAV.wav
data/clean/MMDM0_SX51.WAV.wav,ambidextrous pickpockets accomplish more,data/noisy/MMDM0_SX51.WAV.wav
data/clean/MMDM0_SX411.WAV.wav,butterscotch fudge goes well with vanilla ice cream,data/noisy/MMDM0_SX411.WAV.wav
data/clean/MMDM0_SI1941.WAV.wav,we'll talk over at your office,data/noisy/MMDM0_SI1941.WAV.wav
data/clean/MMDM0_SX321.WAV.wav,the groundhog clearly saw his shadow but stayed out only a moment,data/noisy/MMDM0_SX321.WAV.wav
data/clean/MMDM0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MMDM0_SA1.WAV.wav
data/clean/MMDM0_SX231.WAV.wav,i honor my mom,data/noisy/MMDM0_SX231.WAV.wav
data/clean/MMDM0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MMDM0_SA2.WAV.wav
data/clean/MCSS0_SX30.WAV.wav,get a calico cat to keep,data/noisy/MCSS0_SX30.WAV.wav
data/clean/MCSS0_SI750.WAV.wav,add a few caraway seeds too if you'd like,data/noisy/MCSS0_SI750.WAV.wav
data/clean/MCSS0_SI688.WAV.wav,the dead spirits occupied a prominent place in every hope and in every fear,data/noisy/MCSS0_SI688.WAV.wav
data/clean/MCSS0_SX120.WAV.wav,the coyote bobcat and hyena are wild animals,data/noisy/MCSS0_SX120.WAV.wav
data/clean/MCSS0_SX300.WAV.wav,amoebas change shape constantly,data/noisy/MCSS0_SX300.WAV.wav
data/clean/MCSS0_SX210.WAV.wav,jeff's toy gocart never worked,data/noisy/MCSS0_SX210.WAV.wav
data/clean/MCSS0_SX390.WAV.wav,he picked up nine pairs of socks for each brother,data/noisy/MCSS0_SX390.WAV.wav
data/clean/MCSS0_SI1380.WAV.wav,there is little doubt that the students benefit from vocational education,data/noisy/MCSS0_SI1380.WAV.wav
data/clean/MCSS0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MCSS0_SA1.WAV.wav
data/clean/MCSS0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MCSS0_SA2.WAV.wav
data/clean/MCDR0_SX164.WAV.wav,curiosity and mediocrity seldom coexist,data/noisy/MCDR0_SX164.WAV.wav
data/clean/MCDR0_SX74.WAV.wav,an official deadline cannot be postponed,data/noisy/MCDR0_SX74.WAV.wav
data/clean/MCDR0_SI524.WAV.wav,within a system however the autonomy of each member library is preserved,data/noisy/MCDR0_SI524.WAV.wav
data/clean/MCDR0_SX434.WAV.wav,each stag surely finds a big fawn,data/noisy/MCDR0_SX434.WAV.wav
data/clean/MCDR0_SX344.WAV.wav,i know i didn't meet her early enough,data/noisy/MCDR0_SX344.WAV.wav
data/clean/MCDR0_SX254.WAV.wav,do they allow atheists in church,data/noisy/MCDR0_SX254.WAV.wav
data/clean/MCDR0_SI1154.WAV.wav,only incomplete imperfect things move towards what they lack,data/noisy/MCDR0_SI1154.WAV.wav
data/clean/MCDR0_SA1.WAV.wav,she had your dark suit in greasy wash water all year,data/noisy/MCDR0_SA1.WAV.wav
data/clean/MCDR0_SI1784.WAV.wav,there was a grunt curiously inarticulate like that of an animal in pain,data/noisy/MCDR0_SI1784.WAV.wav
data/clean/MCDR0_SA2.WAV.wav,don't ask me to carry an oily rag like that,data/noisy/MCDR0_SA2.WAV.wav
data/clean/MLEL0_SX256.WAV.wav,the irate actor stomped away idiotically,data/noisy/MLEL0_SX256.WAV.wav
